breakdown_row_id,dataset_type,timestamp_hour,date,hour_of_day,user_id,campaign_id,campaign_name,ad_set_id,ad_set_name,ad_id,ad_name,product_flavor,placement,device,geography,age_band,gender,audience_type,season,impressions,clicks,link_clicks,landing_page_views,sessions,bounce_rate,avg_session_duration,add_to_cart,initiate_checkout,checkout_completion,purchases,conversions,conversion_rate,spend,revenue
BR_H00011,historical,2025-11-15 01:00:00,2025-11-15,1,USER_H00011,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,desktop,Texas,35-44,male,retargeting,fall,5,3,2,2,2,0.0,153.2,0,0,0,0,0,0.0,2.37,0.0
BR_H00012,historical,2025-11-15 01:00:00,2025-11-15,1,USER_H00012,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,mobile,Nevada,18-24,female,website_visitors,fall,6,3,3,3,3,0.99,53.9,1,0,0,0,0,0.0,3.9,0.0
BR_H00013,historical,2025-11-15 01:00:00,2025-11-15,1,USER_H00013,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,mobile,California,18-24,female,interest_based,fall,5,2,2,2,2,0.98,184.1,0,0,0,0,0,0.0,4.46,0.0
BR_H00014,historical,2025-11-15 01:00:00,2025-11-15,1,USER_H00014,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Feed,desktop,Texas,45-54,female,interest_based,fall,9,2,1,1,1,0.99,39.8,0,0,0,0,0,0.0,3.09,0.0
BR_H00015,historical,2025-11-15 01:00:00,2025-11-15,1,USER_H00015,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Feed,desktop,Nevada,25-34,male,retargeting,fall,6,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.81,0.0
BR_H00016,historical,2025-11-15 01:00:00,2025-11-15,1,USER_H00016,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Feed,desktop,Nevada,45-54,male,interest_based,fall,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.01,0.0
BR_H00017,historical,2025-11-15 01:00:00,2025-11-15,1,USER_H00017,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,desktop,Texas,25-34,female,prospecting,fall,2,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,2.15,0.0
BR_H00018,historical,2025-11-15 01:00:00,2025-11-15,1,USER_H00018,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,desktop,California,45-54,female,retargeting,fall,5,2,1,1,1,1.0,33.7,0,0,0,0,0,0.0,2.35,0.0
BR_H00019,historical,2025-11-15 02:00:00,2025-11-15,2,USER_H00019,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Feed,mobile,California,25-34,male,prospecting,fall,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.62,0.0
BR_H00020,historical,2025-11-15 02:00:00,2025-11-15,2,USER_H00020,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,mobile,Arizona,18-24,female,interest_based,fall,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,3.24,0.0
BR_H00021,historical,2025-11-15 02:00:00,2025-11-15,2,USER_H00021,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,desktop,Nevada,35-44,male,interest_based,fall,5,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.79,0.0
BR_H00022,historical,2025-11-15 02:00:00,2025-11-15,2,USER_H00022,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Feed,desktop,Texas,18-24,female,prospecting,fall,1,1,1,1,1,0.0,36.5,1,1,0,0,0,0.0,4.73,0.0
BR_H00023,historical,2025-11-15 02:00:00,2025-11-15,2,USER_H00023,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,mobile,Nevada,35-44,female,website_visitors,fall,6,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.56,0.0
BR_H00024,historical,2025-11-15 02:00:00,2025-11-15,2,USER_H00024,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,mobile,Texas,45-54,male,lookalike,fall,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,4.01,0.0
BR_H00025,historical,2025-11-15 02:00:00,2025-11-15,2,USER_H00025,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Feed,desktop,Nevada,45-54,male,retargeting,fall,6,2,1,1,1,0.0,26.8,0,0,0,0,0,0.0,3.75,0.0
BR_H00026,historical,2025-11-15 02:00:00,2025-11-15,2,USER_H00026,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Reels,desktop,Texas,35-44,female,retargeting,fall,6,3,3,2,2,0.0,10.1,0,0,0,0,0,0.0,3.24,0.0
BR_H00027,historical,2025-11-15 02:00:00,2025-11-15,2,USER_H00027,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Reels,desktop,Arizona,45-54,female,website_visitors,fall,4,2,2,2,2,0.97,149.0,0,0,0,0,0,0.0,1.35,0.0
BR_H00028,historical,2025-11-15 03:00:00,2025-11-15,3,USER_H00028,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Feed,mobile,Texas,25-34,female,prospecting,fall,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.89,0.0
BR_H00029,historical,2025-11-15 03:00:00,2025-11-15,3,USER_H00029,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,desktop,Nevada,18-24,male,lookalike,fall,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,3.06,0.0
BR_H00030,historical,2025-11-15 03:00:00,2025-11-15,3,USER_H00030,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,desktop,Arizona,18-24,female,retargeting,fall,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.67,0.0
BR_H00031,historical,2025-11-15 03:00:00,2025-11-15,3,USER_H00031,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Feed,mobile,Texas,25-34,female,interest_based,fall,6,2,1,1,1,0.98,149.4,0,0,0,0,0,0.0,3.29,0.0
BR_H00032,historical,2025-11-15 03:00:00,2025-11-15,3,USER_H00032,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,mobile,Arizona,35-44,male,website_visitors,fall,6,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.03,0.0
BR_H00033,historical,2025-11-15 03:00:00,2025-11-15,3,USER_H00033,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Feed,mobile,Texas,25-34,male,retargeting,fall,9,1,1,1,1,1.0,160.9,1,0,0,0,0,0.0,1.36,0.0
BR_H00034,historical,2025-11-15 03:00:00,2025-11-15,3,USER_H00034,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Feed,desktop,Arizona,25-34,male,retargeting,fall,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.93,0.0
BR_H00035,historical,2025-11-15 03:00:00,2025-11-15,3,USER_H00035,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Feed,desktop,Nevada,25-34,male,prospecting,fall,5,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,3.11,0.0
BR_H00036,historical,2025-11-15 03:00:00,2025-11-15,3,USER_H00036,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Reels,mobile,California,45-54,female,website_visitors,fall,6,2,1,1,1,1.0,148.0,0,0,0,0,0,0.0,1.2,0.0
BR_H00037,historical,2025-11-15 04:00:00,2025-11-15,4,USER_H00037,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,mobile,Nevada,35-44,male,lookalike,fall,2,2,2,2,2,0.0,135.1,0,0,0,0,0,0.0,2.41,0.0
BR_H00038,historical,2025-11-15 04:00:00,2025-11-15,4,USER_H00038,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Feed,desktop,Texas,45-54,male,prospecting,fall,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,3.8,0.0
BR_H00039,historical,2025-11-15 04:00:00,2025-11-15,4,USER_H00039,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,desktop,California,18-24,female,website_visitors,fall,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.55,0.0
BR_H00040,historical,2025-11-15 04:00:00,2025-11-15,4,USER_H00040,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Stories,desktop,Texas,18-24,male,retargeting,fall,8,2,1,0,0,0.0,0.0,0,0,0,0,0,0.0,1.21,0.0
BR_H00041,historical,2025-11-15 04:00:00,2025-11-15,4,USER_H00041,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Feed,mobile,Texas,35-44,female,retargeting,fall,3,3,3,3,3,0.0,167.9,0,0,0,0,0,0.0,1.54,0.0
BR_H00042,historical,2025-11-15 04:00:00,2025-11-15,4,USER_H00042,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Stories,mobile,Texas,18-24,male,lookalike,fall,2,1,1,1,1,1.0,148.1,0,0,0,0,0,0.0,1.78,0.0
BR_H00043,historical,2025-11-15 04:00:00,2025-11-15,4,USER_H00043,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Feed,desktop,Nevada,25-34,male,retargeting,fall,7,2,2,2,2,1.0,16.8,0,0,0,0,0,0.0,2.62,0.0
BR_H00044,historical,2025-11-15 04:00:00,2025-11-15,4,USER_H00044,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Reels,desktop,Texas,35-44,female,website_visitors,fall,4,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.85,0.0
BR_H00045,historical,2025-11-15 04:00:00,2025-11-15,4,USER_H00045,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,desktop,California,18-24,female,interest_based,fall,6,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,2.07,0.0
BR_H00046,historical,2025-11-15 05:00:00,2025-11-15,5,USER_H00046,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Feed,mobile,Arizona,45-54,male,lookalike,fall,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.43,0.0
BR_H00047,historical,2025-11-15 05:00:00,2025-11-15,5,USER_H00047,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,mobile,Nevada,18-24,male,retargeting,fall,7,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.54,0.0
BR_H00048,historical,2025-11-15 05:00:00,2025-11-15,5,USER_H00048,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,mobile,Texas,35-44,male,interest_based,fall,5,3,3,2,2,0.0,43.6,0,0,0,0,0,0.0,3.73,0.0
BR_H00049,historical,2025-11-15 05:00:00,2025-11-15,5,USER_H00049,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Feed,desktop,California,18-24,female,website_visitors,fall,3,3,3,3,3,0.0,168.4,0,0,0,0,0,0.0,4.84,0.0
BR_H00050,historical,2025-11-15 05:00:00,2025-11-15,5,USER_H00050,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,mobile,Arizona,18-24,female,prospecting,fall,6,3,3,3,3,0.0,150.4,0,0,0,0,0,0.0,2.08,0.0
BR_H00051,historical,2025-11-15 05:00:00,2025-11-15,5,USER_H00051,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Stories,mobile,Arizona,18-24,female,retargeting,fall,3,2,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.56,0.0
BR_H00052,historical,2025-11-15 05:00:00,2025-11-15,5,USER_H00052,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Reels,mobile,California,35-44,male,lookalike,fall,6,1,1,1,1,0.0,126.5,0,0,0,0,0,0.0,3.59,0.0
BR_H00053,historical,2025-11-15 05:00:00,2025-11-15,5,USER_H00053,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,desktop,Arizona,45-54,female,retargeting,fall,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.43,0.0
BR_H00054,historical,2025-11-15 05:00:00,2025-11-15,5,USER_H00054,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,desktop,Arizona,25-34,male,prospecting,fall,5,3,2,2,2,0.98,101.5,0,0,0,0,0,0.0,0.46,0.0
BR_H00055,historical,2025-11-15 06:00:00,2025-11-15,6,USER_H00055,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Feed,mobile,Texas,25-34,female,lookalike,fall,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,1.28,0.0
BR_H00056,historical,2025-11-15 06:00:00,2025-11-15,6,USER_H00056,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,mobile,Arizona,45-54,male,website_visitors,fall,6,2,2,1,1,0.0,147.0,0,0,0,0,0,0.0,1.77,0.0
BR_H00057,historical,2025-11-15 06:00:00,2025-11-15,6,USER_H00057,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Feed,mobile,Nevada,18-24,female,prospecting,fall,2,2,1,1,1,0.0,156.6,0,0,0,0,0,0.0,0.63,0.0
BR_H00058,historical,2025-11-15 06:00:00,2025-11-15,6,USER_H00058,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Feed,desktop,Arizona,18-24,female,prospecting,fall,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,4.83,0.0
BR_H00059,historical,2025-11-15 06:00:00,2025-11-15,6,USER_H00059,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Feed,desktop,California,35-44,male,retargeting,fall,3,3,3,2,2,0.0,153.2,0,0,0,0,0,0.0,3.7,0.0
BR_H00060,historical,2025-11-15 06:00:00,2025-11-15,6,USER_H00060,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Feed,desktop,Arizona,25-34,female,retargeting,fall,3,1,1,1,1,0.0,42.5,0,0,0,0,0,0.0,1.88,0.0
BR_H00061,historical,2025-11-15 06:00:00,2025-11-15,6,USER_H00061,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Feed,desktop,California,35-44,female,prospecting,fall,6,1,1,1,1,0.0,8.1,0,0,0,0,0,0.0,2.53,0.0
BR_H00062,historical,2025-11-15 06:00:00,2025-11-15,6,USER_H00062,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,desktop,Arizona,25-34,male,prospecting,fall,3,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.81,0.0
BR_H00063,historical,2025-11-15 06:00:00,2025-11-15,6,USER_H00063,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,desktop,Texas,35-44,female,interest_based,fall,1,1,1,1,1,0.97,141.3,0,0,0,0,0,0.0,3.38,0.0
BR_H00064,historical,2025-11-15 07:00:00,2025-11-15,7,USER_H00064,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Feed,desktop,Arizona,18-24,female,retargeting,fall,3,2,1,0,0,0.0,0.0,0,0,0,0,0,0.0,1.06,0.0
BR_H00065,historical,2025-11-15 07:00:00,2025-11-15,7,USER_H00065,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,desktop,Nevada,25-34,male,website_visitors,fall,4,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,3.49,0.0
BR_H00066,historical,2025-11-15 07:00:00,2025-11-15,7,USER_H00066,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,mobile,Arizona,25-34,female,interest_based,fall,4,3,2,2,2,0.0,155.0,0,0,0,0,0,0.0,3.39,0.0
BR_H00067,historical,2025-11-15 07:00:00,2025-11-15,7,USER_H00067,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Stories,mobile,California,45-54,male,prospecting,fall,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.91,0.0
BR_H00068,historical,2025-11-15 07:00:00,2025-11-15,7,USER_H00068,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Stories,mobile,Texas,45-54,male,prospecting,fall,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.69,0.0
BR_H00069,historical,2025-11-15 07:00:00,2025-11-15,7,USER_H00069,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Feed,mobile,Texas,25-34,female,retargeting,fall,7,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.23,0.0
BR_H00070,historical,2025-11-15 07:00:00,2025-11-15,7,USER_H00070,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Feed,mobile,Arizona,18-24,male,retargeting,fall,5,2,2,2,2,1.0,171.1,0,0,0,0,0,0.0,3.05,0.0
BR_H00071,historical,2025-11-15 07:00:00,2025-11-15,7,USER_H00071,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Feed,desktop,California,18-24,male,retargeting,fall,5,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,3.74,0.0
BR_H00072,historical,2025-11-15 07:00:00,2025-11-15,7,USER_H00072,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Feed,mobile,Nevada,18-24,female,lookalike,fall,3,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.18,0.0
BR_H00073,historical,2025-11-15 08:00:00,2025-11-15,8,USER_H00073,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Feed,desktop,California,35-44,male,retargeting,fall,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,3.46,0.0
BR_H00074,historical,2025-11-15 08:00:00,2025-11-15,8,USER_H00074,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Feed,mobile,Nevada,25-34,male,website_visitors,fall,3,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.07,0.0
BR_H00075,historical,2025-11-15 08:00:00,2025-11-15,8,USER_H00075,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,mobile,Nevada,18-24,female,interest_based,fall,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,3.9,0.0
BR_H00076,historical,2025-11-15 08:00:00,2025-11-15,8,USER_H00076,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Feed,desktop,Texas,25-34,female,website_visitors,fall,7,3,3,3,3,1.0,111.6,0,0,0,0,0,0.0,1.46,0.0
BR_H00077,historical,2025-11-15 08:00:00,2025-11-15,8,USER_H00077,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,desktop,Arizona,45-54,female,interest_based,fall,1,1,1,1,1,0.0,154.7,0,0,0,0,0,0.0,4.79,0.0
BR_H00078,historical,2025-11-15 08:00:00,2025-11-15,8,USER_H00078,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Stories,mobile,Arizona,25-34,female,retargeting,fall,2,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,3.32,0.0
BR_H00079,historical,2025-11-15 08:00:00,2025-11-15,8,USER_H00079,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,desktop,Arizona,25-34,male,prospecting,fall,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,3.12,0.0
BR_H00080,historical,2025-11-15 08:00:00,2025-11-15,8,USER_H00080,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,mobile,Texas,18-24,male,prospecting,fall,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.89,0.0
BR_H00081,historical,2025-11-15 08:00:00,2025-11-15,8,USER_H00081,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Reels,mobile,Texas,18-24,female,retargeting,fall,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.09,0.0
